purchase_month,traffic_medium,total_purchased_value_usd,total_purchased_items,avg_items_per_purchase
2020-12,organic,224157,2904,5
2020-11,organic,190592,2839,7
2020-11,referral,170750,2066,6
2020-12,referral,160811,2272,5
2020-12,(none),154962,2376,5
2020-11,(none),152875,1776,5
2021-01,referral,72111,753,3
2020-12,<Other>,70649,986,5
2021-01,organic,69385,1036,3
2020-11,<Other>,55365,859,5
2021-01,(none),43998,749,3
2021-01,<Other>,22429,396,3
2020-12,cpc,15512,199,3
2020-11,cpc,11719,216,4
2021-01,cpc,8592,108,3
